Index	Year	Genre	Simile	Text	Comment
1202	2004	Misc	more rapid pace than the sidewalk	To her dismay, Julia found that her right hand seemed to be pulling her into an increasingly horizontal position; first her wrist and forearm, then her upper arm and shoulder, until her cheek lay on her shoulder, leaving her to surmise that the handrail of the airport's moving sidewalk progressed at a more rapid pace than the sidewalk itself.	Valid
1204	2004	Misc	more guys than a porta	Kaitlynn looked like a woman who'd been used by more guys than a porta potty at a burrito festival yet I loved her madly even if she wasn't the kind of girl you'd take home to meet mom unless mom was at her monthly garden club meeting and dad was home alone mowing the lawn or cleaning out the garage.	Valid
1205	2004	Misc	as milky as a china	She was so delicate that her voice was a mere whisper and her hair drooped in thinly clumped strands around her pale face with skin as milky as a china plate painted the starkest white glaze and fired in a kiln over 940 degrees Fahrenheit.	Valid
1211	2004	Misc	resemble one another after lazy summer	Myra pursed her silicone-filled lips in a pouty, sultry smirk that whispered, "We have synergy, you and I," like a man and his dog that have begun to resemble one another after lazy summer days spent sharing a common food dish and an antique, metal comb.	Valid
1218	2004	Misc	as though a herd of invisible felines of all	As she pointed the car due north like a needle on a boy scout's compass to head back to the frozen wasteland from which she had come, a light rain began to drizzle down, forming hundreds--no thousands--of small cat paw prints, as though a herd of invisible felines of all sizes and ages with wet feet were jumping on the windshield, totally oblivious to the fact that the car was traveling at a speed high enough to dislodge any small animals from the front of the vehicle.	Valid
1233	2004	Misc	as near as I	I woke up in Shirley's father's dog's house -- or at least most of me did, because the house was ranch style as near as I could figure it and Shirley's father's dog Tracey was one of those little terrier types with the sardonic overbite and the haunted eyes of a Flamenco dancer.	False Positive
1236	2003	N/A	as tightly as that	They had but one last remaining night together, so they embraced each other as tightly as that two-flavor entwined string cheese that is orange and yellowish-white, the orange probably being a bland Cheddar and the white . . . Mozzarella, although it could possibly be Provolone or just plain American, as it really doesn't taste distinctly dissimilar from the orange, yet they would have you believe it does by coloring it differently.	Valid
1239	2003	All Creatures	Looks like another long night in the	His knowing brown eyes held her gaze for a seeming eternity, his powerful arms clasped her slim body in an irresistible embrace, and from his broad, hairy chest a primal smell of "male" tantalized her nostrils; "Looks like another long night in the ape house" thought veterinarian Abigail Brown as she gingerly reached for the constipated gorilla's suppository.	False Positive
1252	2003	Purple Prose	as if the gods at some celestial concert were	Raul strode through the dark night, his way lit by twinkling stars as if the gods at some celestial concert were all flicking their lighters at the same time in appreciation of the drum solo-like beat of his boot heels against the pavement, occasionally accompanied by the steel-brush-on-a-cymbal sound of a splash as he kicked through a puddle, the plip-plop of water dripping from leaves like someone playing staccato on a two-note piano gone flat, and the wind blowing a bluesy tissue-paper-on-comb harmonica through the trees.	Valid
1255	2003	Purple Prose	as if Richard Simmons had charged into my bedroom	The rhythmic breathing of my companion was interrupted violently by a fit of coughing, causing the peace of the early morning to be ripped from me as if Richard Simmons had charged into my bedroom in his be-sequined health fervor and started Sweating to the Oldies on the end of my bed.	Valid
1263	2003	Romance	as brittle as they	The ballerina stood on point, her toes curled like shrimp, not deep-fried shrimp because, as brittle as they are, they would have cracked under the pressure, but tender ebi-kind-of-shrimp, pink and luscious as a Tokyo sunset, wondering if her lover was in the Ginza, wooing the geisha with eyes reminiscent of roe, which she liked better than ebi anyway.	Valid
1276	2003	Western	as sure as a norther	The Hoss eyed the deserted town square like a hungry mother vulture hoping to catch a decaying carcass to feed her squawking young, for he knew that as sure as a norther would blow in from the Rockies, though actually the northers in these parts were usually coming from Canada, sort of up around Lethbridge but not all the way to Banff, he knew that Jimmy One-Tooth and his band of toughs would be back for their gold.	Valid
1278	2003	Dark & Stormy Night	more tennis bracelets than most	It was a barky and wormy night at Dr. Kilmore's 24-Hour Veterinary Emporium when, right in the middle of his 3:00 AM stool watch, Alberto suddenly realized that, pound for pound, Shih-Tzus swallow more tennis bracelets than most dogs twice their size.	Valid
1280	2003	N/A	more money than that	After escaping the clutches of that crazy cult, it was going to take more money than that to start a new life, but still, for one day's work, 30 pieces of silver wasn't bad.	False Positive
1296	2003	N/A	resemble the townspeople	Our story begins, as very few do, in the small but diabolically clever town of Torrington, Alberta, where the Gopher Hole Museum, displaying 71 adorable yet eerie stuffed gophers dressed up to resemble the townspeople, has attracted so many tourists that when a Torrington home goes on the market, it sells in less than six years.	Valid
1303	2003	N/A	as hard and brittle as the rock	It wasn't the first time Dame Harriet Bundt had discovered a corpse in someone's drawing room, the head turned in a horribly bizarre, unnatural, rictus-induced pose (so that she quietly retched into the silent butler) and the teeny-weeny hole exactly four millimeters above the right eye that had once oozed the bright red stuff of life, but which now was as hard and brittle as the rock candy her grandfather used to surprise her with every Wednesday, and it certainly wouldn't be the last.	Valid
1316	2002	Purple Prose	look like a sausage	The blood dripped from his nose like hot grease from a roasting bratwurst pierced with a fork except that grease isn't red and the blood wasn't that hot and it wasn't a fork that poked him in the nose but there was a faint aroma of nutmeg in the air and it is of noses we speak not to mention that if you looked at it in the right profile, his nose did sort of look like a sausage.	Valid
1318	2002	Purple Prose	as well as reality	Sheila was easy as opening a jar of pickles, not one closed by a man who has virility doubts and closes a jar so women and young boys get hernias opening it or at least the boys get them; although I heard about a woman who had a hiatal hernia so I guess women get them too but doctors don't ask them to cough unless their malpractice covers sexual deviance but a jar closed by some ninety-year-old whose grip on the jar as well as reality has slipped.	False Positive
1321	2002	Purple Prose	as much as one	As her tears blurred his receding figure into a ghostly memory, she realized how thoroughly he had broken her heart, like a steamroller grinding the shards of a perfume bottle into splintered, dusty oblivion, at least as much as one can "break" a squishy organ composed of 70% water by weight; heck, let's be honest, you can no more break a heart than you can perform an appendectomy with a spoon, which is perhaps a better analogy for her pain in the first place.	Valid
1321	2002	Purple Prose	more break a heart than you	As her tears blurred his receding figure into a ghostly memory, she realized how thoroughly he had broken her heart, like a steamroller grinding the shards of a perfume bottle into splintered, dusty oblivion, at least as much as one can "break" a squishy organ composed of 70% water by weight; heck, let's be honest, you can no more break a heart than you can perform an appendectomy with a spoon, which is perhaps a better analogy for her pain in the first place.	Valid
1327	2002	Spy Fiction	more whiskers than a Civil	It was a long and boring flight to Moscow's Sheremetevo Airport and when Special Agent Jasper Smoot debarked and walked into the restroom marked "Dama" in Cyrillic he might have found the woman there attractive except she had more whiskers than a Civil War general and was pointing a crossbow at his head.	Valid
1329	2002	Romance	as though his body had been pounded by heavy	Ralph awoke groggily, and after searching through the overflowing ashtray on the nightstand for a half-smoked cigarette, looked over at the rumpled form of Lila sleeping next to him in bed and wondered idly why making love with her made him feel as though his body had been pounded by heavy surf.	Valid
1361	2002	N/A	as though it were on the other side of	There was a time when she did not relate to life as though it were on the other side of a mesh screen on which she would press her nose close, inhale dust that was embedded in the corners of the little squares in the grid, sneeze, and back away.	Valid
1362	2002	N/A	as if his mind had been cleared by the	As Professor Wincklespoon took a sip from his coffee, craving the caffeine that scalding hot water had seduced from the beans, his eyes fell on an old equation he had written down years ago, metaphorically speaking, for the falling of his eyes should not be taken literally, and suddenly it struck him, as if his mind had been cleared by the same stormy wind that had brought a dark cloud overhead, two million volts of electricity from that same cloud and gone were the man and his equation, the solution to the theory of everything.	Valid
1388	2001	Western	as fine as frog	As he saw her step lightly down from the stagecoach, Deputy Slim Pickens reckoned that Luella Mae Bumtugger, the new schoolmarm, was 'bout as fine as frog hair; tapered legs smooth as a salamander and skinny as a newborn colt; brown eyes dark and deep as a barn owl in the shadows of midnight; and a bosom that heaved up through the low cut blouse like two hairless prairie dogs trying to back out of the same hole.	Valid
1388	2001	Western	as a salamander and skinny as a newborn	As he saw her step lightly down from the stagecoach, Deputy Slim Pickens reckoned that Luella Mae Bumtugger, the new schoolmarm, was 'bout as fine as frog hair; tapered legs smooth as a salamander and skinny as a newborn colt; brown eyes dark and deep as a barn owl in the shadows of midnight; and a bosom that heaved up through the low cut blouse like two hairless prairie dogs trying to back out of the same hole.	Valid
1390	2001	Romance	more revolting than it	Alas, Vanessa sighed, "What can one do when one's relationship begins to stale in much the same way as a day-old cinnamon roll which was wrapped in wax paper rather than having been sealed in plastic, and can only be made remotely palatable for a very brief period when reheated for a few seconds in a microwave, after which it becomes even more revolting than it was in the first place?"	Valid
1393	2001	Romance	as invisible to them now as then	From the roundel of her fifth-story pied-à-terre, Clara watched her ex approach, strutting to retrieve a moldy yearbook to aid his recall for the R.M. Nixon High class of '76 silver reunion, oblivious he would be as invisible to them now as then, although his electro-plated medallion and scalp peering through the feathered fringes of his comb-over both bore the startling sheen of passing time, and her heart pounded with the sudden conviction justice was served when disco died and no one told Roger.	Valid
1401	2001	Vile Puns	as cold as a seven-bone	Bruce remained on bended knee in front of Sheila, who fixed him with a gaze as cold as a seven-bone roast which had been in the coldest part of the freezer for eight months, and even though a tear trickled down his left cheek, her heart hardened, becoming actually as hard as that same seven-bone roast after that same amount of time in that same part of the freezer, (because when things freeze they also become very hard), and then Bruce knew with certainty that, as usual, Sheila was going to give him the cold shoulder.	Valid
1401	2001	Vile Puns	as hard as that	Bruce remained on bended knee in front of Sheila, who fixed him with a gaze as cold as a seven-bone roast which had been in the coldest part of the freezer for eight months, and even though a tear trickled down his left cheek, her heart hardened, becoming actually as hard as that same seven-bone roast after that same amount of time in that same part of the freezer, (because when things freeze they also become very hard), and then Bruce knew with certainty that, as usual, Sheila was going to give him the cold shoulder.	Valid
1408	2001	Dark & Stormy	as wet hens as the night	The afternoon was gray and cloudy; the drizzle fell intermittently -- in the distance, across the Potomac, a torrent was stealthily creeping eastward -- amongst a gently wafting breeze amongst the trees lining the Mall (for it is in Washington that our scene lies), misting the windows of the passing cars, and annoying the feral cats that lived in Rock Creek Park who would soon be mad as wet hens as the night became dark and stormy.	Valid
1414	2001	Silicon Valley	as ubiquitous as the cute	Unwittingly, Bob pressed the Enter key, sending a stream of zeros and ones in electronic form across the computer's bus, through the processor, out the serial cable, through the 56K modem, and into the seamy and unfathomable world of the Internet where his MasterCard number became as ubiquitous as the cute chord that plays when you boot up a Windows based computer.	Valid
1416	2001	N/A	as overwhelming as the smell	The shame and stress of rejection were overwhelming, as overwhelming as the smell of a forgotten jockstrap at the bottom of Captain Hook's hamper, or as bad as tripping while being chased by the bulls of Pampalona, she reflected as she thought upon the cruel fate that prevented her from being selected; after all she was smarter, more beautiful, and much more willing, and "It could have been me," she lamented, but deep in her heart the Rejected Intern knew it was close, but no cigar.	Valid
1416	2001	N/A	as bad as tripping	The shame and stress of rejection were overwhelming, as overwhelming as the smell of a forgotten jockstrap at the bottom of Captain Hook's hamper, or as bad as tripping while being chased by the bulls of Pampalona, she reflected as she thought upon the cruel fate that prevented her from being selected; after all she was smarter, more beautiful, and much more willing, and "It could have been me," she lamented, but deep in her heart the Rejected Intern knew it was close, but no cigar.	Valid
1420	2001	N/A	as black as her	Her low-cut, revealing gown was black - black like her heart, although not really because everyone knows that a heart is just an internal organ whose natural pigment is pink just like the lungs, except, of course, for the lungs of a long-time smoker which may be as black as her low-cut, revealing gown.	Valid
1432	2001	N/A	more prison tattoos than teeth	Wearing a tutu to the frat bash had not been such a hot idea, Joe mused, as he was gently pushed into the drunk tank, and when the hulk with far more prison tattoos than teeth stood tippy-toe, licked his lips, and asked Joe if he could demonstrate a pas de deux, grand; a battement sur le cou-de-pied, petit; a entrechat six; and a rond de jambe en l'air he knew he must give the performance of his life.	Valid
1436	2000	N/A	as thick as smoke	The heather-encrusted Headlands, veiled in fog as thick as smoke in a crowded pub, hunched precariously over the moors, their rocky elbows slipping off land's end, their bulbous, craggy noses thrust into the thick foam of the North Sea like bearded old men falling asleep in their pints.	Valid
1465	2000	Silicon Valley	as ubiquitous as the cute	Unwittingly, Bob pressed the Enter key … MasterCard number became as ubiquitous as the cute chord that plays when you boot up Windows.	Valid
1477	1999	Romance	As slowly as an	As slowly as an over-encumbered messenger swallow carries news too ill and woeful to present to a king, especially in a barrage of precipitation, I commanded the muscles in my brow to wrinkle, much like poorly installed carpet when you run really fast and stop quickly, showing my general displeasure at the fact that my now life-long spouse had dyed her eyebrows to match her prostitute-red, three-and-a-half-inch pumps.	Valid
1483	1999	Purple Prose	were like ripe strawberries	Her breasts were like ripe strawberries, but much bigger, a completely different color, not as bumpy, and without the little green things on top.	Valid
1484	1999	Purple Prose	is like looking through a rip in	"Omigod!" Wendy Wunce exclaimed (to no one in particular), "This is like looking through a rip in the tattered and heavily soiled fabric of Time's underwear!"; nonetheless, there she was, at her 30th high-school reunion.	Valid
1548	1998	N/A	as though a thousand eyes were upon him after	The delivery boy felt as though a thousand eyes were upon him after taking a tumble down the courtyard stairs, but it was probably only thirty or so, because that's how many he was delivering to the biology lab for dissection; it just felt like more.	Valid
1556	1998	N/A	sounds like the emphysema ward in a geriatric	She sighed, not just any sigh, but one of those deep, deep sighs that, emanating from the depths of your lower respiratory tract, works its way upward, then explodes out of you, pervading the surrounding area, ubiquitously drawing forth sympathetic sighs from those around you in increasing concentrations, until finally you are surrounded by such an intense miasma of wheezing and gasping that it sounds like the emphysema ward in a geriatric hospital.	Valid
1569	1997	Romance	as cool and biting as a Roger	The breeze was as cool and biting as a Roger Whitaker hit song, whistling through the remaining shreds of her dress as easily as a prune passes through a colon, when Tony stepped up and solicitously put his jacket around her shoulders, saying "Here, let me break the wind for you."	Valid
1569	1997	Romance	as easily as a prune	The breeze was as cool and biting as a Roger Whitaker hit song, whistling through the remaining shreds of her dress as easily as a prune passes through a colon, when Tony stepped up and solicitously put his jacket around her shoulders, saying "Here, let me break the wind for you."	Valid
1606	1997	N/A	as enticed as he	So what should we pierce next? Charity purred, holding up the piercing gun and leaning over him, her pouty cupid's-bow mouth painted a lurid screaming red, her black-rimmed eyes vacant yet kinetic, her tattered and now blood-stained black mesh half-shirt falling off her shoulder to reveal one pert, supple young breast; and Kevin knew fear, but could not let her see it, for he was as enticed as he was terrified by this wild, raven-haired teenager, and so, with a shrug and a smirk that said, "I know you're taking me on a fast, Bohemian joyride to Hell and I like it!" replied, "There's still some room left on my butt."	Valid
1625	1996	Purple Prose	as creamily as marshmallow	Nigel lifted his Mont Blanc pen and held it in brief repose as he gazed past the conflagrative crackling in the hearth, through the triple-plate bay window, watching the incandescence of the twinkling stars like the detonation of a million flashbulbs, and the preponderance of frothy snowflakes blanketing the earth as creamily as marshmallow fluff, then, refreshed and inspired, he began to compose his annual Christmas form letter.	Valid
1626	1996	Purple Prose	as big and as golden	Tess was a fallen angel with a heart as big and as golden as all outdoors; a heart as big as all outdoors and all indoors; a heart as big as a solarium, which is a room that is like outdoors but indoors; unlike one of those bump-out kitchen greenhouse windows, which is neither.	Valid
1626	1996	Purple Prose	as big as all	Tess was a fallen angel with a heart as big and as golden as all outdoors; a heart as big as all outdoors and all indoors; a heart as big as a solarium, which is a room that is like outdoors but indoors; unlike one of those bump-out kitchen greenhouse windows, which is neither.	Valid
1626	1996	Purple Prose	as big as a solarium	Tess was a fallen angel with a heart as big and as golden as all outdoors; a heart as big as all outdoors and all indoors; a heart as big as a solarium, which is a room that is like outdoors but indoors; unlike one of those bump-out kitchen greenhouse windows, which is neither.	Valid
1626	1996	Purple Prose	is like outdoors but indoors	Tess was a fallen angel with a heart as big and as golden as all outdoors; a heart as big as all outdoors and all indoors; a heart as big as a solarium, which is a room that is like outdoors but indoors; unlike one of those bump-out kitchen greenhouse windows, which is neither.	Valid
1631	1996	N/A	as interminable as this	When the sound of Big Ben chiming the hour of the rosy-fingered dawn struck my straining ears like a fire alarm, I threw the glockenspiel at the haberdasher and ran for the door, never looking back to see if the foul devil's spawn was giving chase through the impenetrably thick—and terribly clammy—fog that clung to me like a sodden woolen suit, slowing my flight to a crawl as interminable as this sentence.	Valid
